business_unit_id,facility_id,facility_name,region,ownership_start,ownership_end,facility_address,square_footage,employee_headcount,naics_code,data_source_system,last_audit_date
BU-01,FAC-001,BU-01 FAC-001 Facility,Latin America,2025-08-05,,"4672 Industrial Pkwy, Unit 1",190679,166,325410,Workiva,2024-11-05
BU-01,FAC-008,BU-01 FAC-008 Facility,Europe,2016-03-20,,"6992 Industrial Pkwy, Unit 2",136428,415,327310,Enablon,2024-03-19
BU-01,FAC-013,BU-01 FAC-013 Facility,Latin America,2025-04-01,,"6339 Industrial Pkwy, Unit 3",163763,341,325410,SAP-EHS,2024-04-23
BU-01,FAC-101,BU-01 FAC-101 Facility,APAC,2015-12-11,2024-05-08,"3725 Industrial Pkwy, Unit 4",237602,458,212210,Enablon,2024-03-28
BU-01,FAC-102,BU-01 FAC-102 Facility,APAC,2025-08-18,,"2708 Industrial Pkwy, Unit 5",205793,253,212210,Sphera,2024-05-28
BU-01,FAC-103,BU-01 FAC-103 Facility,Europe,2020-11-22,,"884 Industrial Pkwy, Unit 6",38615,416,325410,SAP-EHS,2024-05-30
BU-01,FAC-104,BU-01 FAC-104 Facility,North America,2020-08-18,,"7243 Industrial Pkwy, Unit 7",89959,732,311710,Workiva,2024-02-28
BU-01,FAC-105,BU-01 FAC-105 Facility,APAC,2018-09-15,,"293 Industrial Pkwy, Unit 8",200837,456,212210,Workiva,2024-05-22
BU-01,FAC-106,BU-01 FAC-106 Facility,Latin America,2024-04-28,,"1488 Industrial Pkwy, Unit 9",158104,107,212210,Workiva,2024-01-28
BU-01,FAC-107,BU-01 FAC-107 Facility,Europe,2021-01-21,,"7889 Industrial Pkwy, Unit 10",25195,182,484110,SAP-EHS,2024-04-18
BU-01,FAC-108,BU-01 FAC-108 Facility,North America,2020-04-13,,"6808 Industrial Pkwy, Unit 11",40333,178,311710,Sphera,2024-02-26
BU-02,FAC-002,BU-02 FAC-002 Facility,APAC,2017-05-26,,"9896 Industrial Pkwy, Unit 12",157359,416,331110,Workiva,2024-07-14
BU-02,FAC-009,BU-02 FAC-009 Facility,North America,2017-05-10,2024-01-23,"9588 Industrial Pkwy, Unit 13",117447,447,484110,Sphera,2024-01-22
BU-02,FAC-014,BU-02 FAC-014 Facility,Europe,2024-02-12,,"4917 Industrial Pkwy, Unit 14",179425,454,484110,Sphera,2024-02-23
BU-02,FAC-109,BU-02 FAC-109 Facility,Latin America,2019-07-29,,"4787 Industrial Pkwy, Unit 15",212861,258,325410,Enablon,2024-06-28
