transfer_id,product_id,source_warehouse_id,dest_warehouse_id,ship_date,receive_date,quantity
TRF00001,SKU396,WH03,WH02,2024-01-02,2024-01-06,94
TRF00002,SKU200,WH03,WH05,2024-01-06,2024-01-08,65
TRF00003,SKU223,WH02,WH01,2024-01-06,2024-01-15,82
TRF00004,SKU016,WH03,WH01,2024-01-08,2024-01-15,96
TRF00005,SKU311,WH01,WH03,2024-01-08,2024-01-17,44
TRF00006,SKU066,WH01,WH05,2024-01-10,2024-01-14,88
TRF00007,SKU094,WH04,WH02,2024-01-10,2024-01-13,21
TRF00008,SKU368,WH05,WH02,2024-01-11,2024-01-17,60
TRF00009,SKU288,WH05,WH04,2024-01-12,2024-01-16,115
TRF00010,SKU014,WH05,WH03,2024-01-13,2024-01-18,78
TRF00011,SKU074,WH03,WH05,2024-01-13,2024-01-21,63
TRF00012,SKU224,WH01,WH05,2024-01-13,2024-01-18,103
TRF00013,SKU197,WH02,WH05,2024-01-13,2024-01-22,82
TRF00014,SKU347,WH05,WH04,2024-01-14,2024-01-22,40
TRF00015,SKU063,WH05,WH02,2024-01-14,2024-01-18,27
TRF00016,SKU270,WH02,WH01,2024-01-14,2024-01-18,79
TRF00017,SKU183,WH01,WH02,2024-01-14,2024-01-19,78
TRF00018,SKU153,WH05,WH03,2024-01-14,2024-01-23,104
TRF00019,SKU249,WH04,WH02,2024-01-14,2024-01-19,98
TRF00020,SKU047,WH02,WH01,2024-01-14,2024-01-17,76
TRF00021,SKU203,WH01,WH03,2024-01-14,2024-01-19,72
TRF00022,SKU141,WH04,WH05,2024-01-15,2024-01-20,56
TRF00023,SKU297,WH05,WH03,2024-01-16,2024-01-18,58
TRF00024,SKU151,WH02,WH05,2024-01-16,2024-01-23,33
TRF00025,SKU311,WH03,WH01,2024-01-16,2024-01-23,45
TRF00026,SKU108,WH03,WH04,2024-01-17,2024-01-25,81
TRF00027,SKU395,WH05,WH04,2024-01-17,2024-01-24,31
TRF00028,SKU343,WH04,WH02,2024-01-17,2024-01-20,89
TRF00029,SKU257,WH01,WH05,2024-01-17,2024-01-22,86
TRF00030,SKU080,WH05,WH04,2024-01-17,2024-01-25,80
TRF00031,SKU109,WH02,WH04,2024-01-18,2024-01-25,21
TRF00032,SKU263,WH03,WH02,2024-01-18,2024-01-27,71
TRF00033,SKU159,WH02,WH04,2024-01-18,2024-01-24,64
TRF00034,SKU050,WH05,WH01,2024-01-20,2024-01-26,32
TRF00035,SKU279,WH02,WH04,2024-01-20,2024-01-26,59
TRF00036,SKU026,WH05,WH02,2024-01-20,2024-01-24,39
